Date,Oil_Price,Dollar_Index,Stavka,isp
2022-05-25,114.02999877929688,102.0770034790039,11.0,6335.29
2022-05-26,117.4000015258789,101.85800170898438,11.0,6335.29
2022-05-27,119.43000030517578,101.697998046875,11.0,6335.29
2022-05-31,122.83999633789062,101.76599884033205,11.0,6335.29
2022-06-01,116.29000091552734,102.52899932861328,9.5,6191.31
2022-06-02,117.61000061035156,101.83200073242188,9.5,6191.31
2022-06-03,119.72000122070312,102.16000366210938,9.5,6191.31
2022-06-06,119.51000213623048,102.4469985961914,9.5,6191.31
2022-06-07,120.56999969482422,102.3249969482422,9.5,6191.31
2022-06-08,123.58000183105467,102.5459976196289,9.5,6191.31
2022-06-09,123.06999969482422,103.21800231933594,9.5,6191.31
2022-06-10,122.01000213623048,104.1510009765625,9.5,6191.31
2022-06-13,122.2699966430664,104.9469985961914,9.5,6191.31
2022-06-14,121.16999816894533,105.34200286865234,9.5,6191.31
2022-06-15,118.51000213623048,104.93499755859376,9.5,6191.31
2022-06-16,119.80999755859376,103.41699981689452,9.5,6191.31
2022-06-17,113.12000274658205,104.48799896240234,9.5,6191.31
2022-06-21,114.6500015258789,104.21099853515624,9.5,6191.31
2022-06-22,111.73999786376952,103.9810028076172,9.5,6191.31
2022-06-23,110.0500030517578,104.19200134277344,9.5,6191.31
2022-06-24,113.12000274658205,103.95899963378906,9.5,6191.31
2022-06-27,115.08999633789062,103.6780014038086,9.5,6191.31
2022-06-28,117.9800033569336,104.26100158691406,9.5,6191.31
2022-06-29,116.26000213623048,104.8489990234375,9.5,6191.31
2022-06-30,114.80999755859376,104.46399688720705,9.5,6191.31
2022-07-01,111.62999725341795,104.90899658203124,8.0,5864.04
2022-07-05,102.7699966430664,106.31999969482422,8.0,5864.04
2022-07-06,100.69000244140624,106.89800262451172,8.0,5864.04
2022-07-07,104.6500015258789,106.95899963378906,8.0,5864.04
2022-07-08,107.0199966430664,106.8209991455078,8.0,5864.04
2022-07-11,107.0999984741211,107.8290023803711,8.0,5864.04
2022-07-12,99.48999786376952,107.91200256347656,8.0,5864.04
2022-07-13,99.56999969482422,107.75599670410156,8.0,5864.04
2022-07-14,99.0999984741211,108.40699768066406,8.0,5864.04
2022-07-15,101.16000366210938,107.91100311279295,8.0,5864.04
2022-07-18,106.2699966430664,107.2310028076172,8.0,5864.04
2022-07-19,107.3499984741211,106.5500030517578,8.0,5864.04
2022-07-20,106.91999816894533,106.9530029296875,8.0,5864.04
2022-07-21,103.86000061035156,106.8040008544922,8.0,5864.04
2022-07-22,103.1999969482422,106.62100219726562,8.0,5864.04
2022-07-25,105.1500015258789,106.3550033569336,8.0,5864.04
2022-07-26,104.4000015258789,107.04399871826172,8.0,5864.04
2022-07-27,106.62000274658205,106.33100128173828,8.0,5864.04
2022-07-28,107.13999938964844,106.23600006103516,8.0,5864.04
2022-07-29,110.01000213623048,105.77899932861328,8.0,5864.04
2022-08-01,100.02999877929688,105.33599853515624,8.0,5636.44
2022-08-02,100.54000091552734,106.10399627685548,8.0,5636.44
2022-08-03,96.77999877929688,106.3769989013672,8.0,5636.44
2022-08-04,94.12000274658205,105.56600189208984,8.0,5636.44
2022-08-05,94.91999816894533,106.48999786376952,8.0,5636.44
2022-08-08,96.6500015258789,106.322998046875,8.0,5636.44
2022-08-09,96.30999755859376,106.2519989013672,8.0,5636.44
2022-08-10,97.4000015258789,105.08000183105467,8.0,5636.44
2022-08-11,99.5999984741211,104.99400329589844,8.0,5636.44
2022-08-12,98.1500015258789,105.51000213623048,8.0,5636.44
2022-08-15,95.0999984741211,106.43299865722656,8.0,5636.44
2022-08-16,92.33999633789062,106.38800048828124,8.0,5636.44
2022-08-17,93.6500015258789,106.48600006103516,8.0,5636.44
2022-08-18,96.58999633789062,107.41500091552734,8.0,5636.44
2022-08-19,96.72000122070312,108.0979995727539,8.0,5636.44
2022-08-22,96.4800033569336,108.9810028076172,8.0,5636.44
2022-08-23,100.22000122070312,108.5540008544922,8.0,5636.44
2022-08-24,101.22000122070312,108.61599731445312,8.0,5636.44
2022-08-25,99.33999633789062,108.43299865722656,8.0,5636.44
2022-08-26,100.98999786376952,108.7509994506836,8.0,5636.44
2022-08-29,105.08999633789062,108.79000091552734,8.0,5636.44
2022-08-30,99.30999755859376,108.7490005493164,8.0,5636.44
2022-08-31,96.48999786376952,108.66500091552734,8.0,5636.44
2022-09-01,92.36000061035156,109.6780014038086,7.5,5500.6
2022-09-02,93.0199966430664,109.51000213623048,7.5,5500.6
2022-09-06,92.83000183105467,110.2040023803711,7.5,5500.6
2022-09-07,88.0,109.83200073242188,7.5,5500.6
2022-09-08,89.1500015258789,109.71299743652344,7.5,5500.6
2022-09-09,92.83999633789062,108.99700164794922,7.5,5500.6
2022-09-12,94.0,108.31600189208984,7.5,5500.6
2022-09-13,93.16999816894533,109.80899810791016,7.5,5500.6
2022-09-14,94.0999984741211,109.63099670410156,7.5,5500.6
2022-09-15,90.83999633789062,109.71099853515624,7.5,5500.6
2022-09-16,91.3499984741211,109.73600006103516,7.5,5500.6
2022-09-19,92.0,109.98200225830078,7.5,5500.6
2022-09-20,90.62000274658205,109.94200134277344,7.5,5500.6
2022-09-21,89.83000183105469,110.34600067138672,7.5,5500.6
2022-09-22,90.45999908447266,111.1050033569336,7.5,5500.6
2022-09-23,86.1500015258789,112.96199798583984,7.5,5500.6
2022-09-26,84.05999755859375,114.0199966430664,7.5,5500.6
2022-09-27,86.2699966430664,114.0469970703125,7.5,5500.6
2022-09-28,89.31999969482422,112.50800323486328,7.5,5500.6
2022-09-29,88.48999786376953,112.2020034790039,7.5,5500.6
2022-09-30,87.95999908447266,112.08399963378906,7.5,5500.6
2022-10-03,88.86000061035156,111.65599822998048,7.5,5500.07
2022-10-04,91.8000030517578,109.9810028076172,7.5,5500.07
2022-10-05,93.37000274658205,111.01100158691406,7.5,5500.07
2022-10-06,94.41999816894533,112.18299865722656,7.5,5500.07
2022-10-07,97.91999816894533,112.68299865722656,7.5,5500.07
2022-10-10,96.19000244140624,113.0709991455078,7.5,5500.07
2022-10-11,94.29000091552734,113.12799835205078,7.5,5500.07
2022-10-12,92.4499969482422,113.2239990234375,7.5,5500.07
2022-10-13,94.56999969482422,112.25299835205078,7.5,5500.07
2022-10-14,91.62999725341795,113.2020034790039,7.5,5500.07
2022-10-17,91.62000274658205,111.90799713134766,7.5,5500.07
2022-10-18,90.02999877929688,111.99400329589844,7.5,5500.07
2022-10-19,92.41000366210938,112.87899780273438,7.5,5500.07
2022-10-20,92.37999725341795,112.81800079345705,7.5,5500.07
2022-10-21,93.5,111.9800033569336,7.5,5500.07
2022-10-24,93.26000213623048,111.90899658203124,7.5,5500.07
2022-10-25,93.5199966430664,110.83000183105467,7.5,5500.07
2022-10-26,95.69000244140624,109.552001953125,7.5,5500.07
2022-10-27,96.95999908447266,110.4530029296875,7.5,5500.07
2022-10-28,95.7699966430664,110.6060028076172,7.5,5500.07
2022-10-31,94.83000183105467,111.41999816894533,7.5,5500.07
2022-11-01,94.6500015258789,111.35900115966795,7.5,5511.28
2022-11-02,96.16000366210938,111.22599792480467,7.5,5511.28
2022-11-03,94.66999816894533,112.8040008544922,7.5,5511.28
2022-11-04,98.56999969482422,110.77400207519533,7.5,5511.28
2022-11-07,97.91999816894533,109.99299621582033,7.5,5511.28
2022-11-08,95.36000061035156,109.54199981689452,7.5,5511.28
2022-11-09,92.6500015258789,110.45999908447266,7.5,5511.28
2022-11-10,93.66999816894533,108.09200286865234,7.5,5511.28
2022-11-11,95.98999786376952,106.16400146484376,7.5,5511.28
